Running ibex deisgn in sky130hs
5000 runs will be executed
['CLK_PERIOD', 'CORE_UTILIZATION', 'ASPECT_RATIO', 'GP_PAD', 'DP_PAD', 'LAYER_ADJUST', 'PLACE_DENSITY', 'FLATTEN', 'ABC_CLOCK_PERIOD', 'PINS_DISTANCE', 'CTS_CLUSTER_SIZE', 'CTS_CLUSTER_DIAMETER', 'GR_OVERFLOW']
[5.0337, 32.0, 0.896, 2.0, 1.0, 0.5, 0.19, 0.0, 5000.0, 2.0, 31.0, 85.0, 1.0]
[6.7201, 31.0, 0.973, 3.0, 1.0, 0.3, 0.43, 0.0, 5000.0, 1.0, 11.0, 96.0, 1.0]
[6.1472, 35.0, 0.826, 1.0, 4.0, 0.6, 0.88, 0.0, 5000.0, 1.0, 25.0, 118.0, 1.0]
[7.8444, 27.0, 0.83, 1.0, 2.0, 0.4, 0.41, 0.0, 5000.0, 2.0, 16.0, 81.0, 1.0]
[5.0683, 30.0, 0.916, 1.0, 2.0, 0.6, 0.41, 0.0, 5000.0, 2.0, 29.0, 101.0, 1.0]
[5.9495, 28.0, 0.953, 1.0, 1.0, 0.6, 0.22, 0.0, 5000.0, 1.0, 17.0, 82.0, 1.0]
[5.2515, 29.0, 0.924, 3.0, 1.0, 0.2, 0.56, 1.0, 5000.0, 3.0, 37.0, 117.0, 1.0]
[6.8258, 27.0, 0.786, 1.0, 0.0, 0.7, 0.81, 0.0, 5000.0, 2.0, 26.0, 106.0, 1.0]
[6.0216, 29.0, 0.767, 1.0, 2.0, 0.1, 0.94, 0.0, 5000.0, 3.0, 38.0, 84.0, 1.0]
[5.4441, 30.0, 0.98, 1.0, 1.0, 0.6, 0.8, 1.0, 5000.0, 2.0, 33.0, 119.0, 1.0]
[6.9357, 32.0, 0.992, 4.0, 0.0, 0.5, 0.15, 1.0, 5000.0, 2.0, 12.0, 88.0, 1.0]
[7.4354, 30.0, 0.822, 1.0, 1.0, 0.1, 0.5, 1.0, 5000.0, 2.0, 16.0, 100.0, 1.0]
[6.2152, 34.0, 0.901, 2.0, 3.0, 0.6, 0.1, 0.0, 5000.0, 3.0, 10.0, 90.0, 1.0]
[5.4986, 35.0, 0.73, 2.0, 2.0, 0.6, 0.88, 1.0, 5000.0, 3.0, 12.0, 82.0, 1.0]
[5.861, 30.0, 0.812, 3.0, 0.0, 0.3, 0.5, 0.0, 5000.0, 2.0, 23.0, 116.0, 1.0]
[5.3009, 31.0, 0.727, 2.0, 1.0, 0.5, 0.35, 1.0, 5000.0, 1.0, 38.0, 109.0, 1.0]
[5.8216, 30.0, 0.983, 1.0, 2.0, 0.3, 0.16, 0.0, 5000.0, 2.0, 26.0, 91.0, 1.0]
[7.4231, 32.0, 0.737, 2.0, 3.0, 0.4, 0.41, 0.0, 5000.0, 2.0, 35.0, 112.0, 1.0]
[6.8806, 32.0, 0.91, 3.0, 2.0, 0.6, 0.69, 1.0, 5000.0, 2.0, 13.0, 104.0, 1.0]
[7.2949, 29.0, 0.778, 0.0, 3.0, 0.4, 0.6, 0.0, 5000.0, 1.0, 36.0, 86.0, 1.0]
[5.4848, 33.0, 0.985, 2.0, 4.0, 0.7, 1.0, 1.0, 5000.0, 2.0, 36.0, 115.0, 1.0]
[7.2973, 31.0, 0.896, 1.0, 0.0, 0.3, 0.63, 0.0, 5000.0, 1.0, 18.0, 99.0, 1.0]
[5.8879, 31.0, 0.749, 1.0, 1.0, 0.4, 0.98, 0.0, 5000.0, 3.0, 11.0, 106.0, 1.0]
[7.1698, 36.0, 0.736, 1.0, 3.0, 0.4, 0.64, 1.0, 5000.0, 2.0, 38.0, 103.0, 1.0]
[7.9892, 35.0, 0.897, 1.0, 2.0, 0.1, 0.3, 1.0, 5000.0, 3.0, 21.0, 111.0, 1.0]
[7.7392, 30.0, 0.732, 0.0, 3.0, 0.6, 0.74, 0.0, 5000.0, 3.0, 23.0, 116.0, 1.0]
[5.676, 28.0, 0.78, 0.0, 1.0, 0.5, 0.18, 0.0, 5000.0, 2.0, 25.0, 103.0, 1.0]
[6.1856, 32.0, 0.716, 3.0, 2.0, 0.2, 0.19, 1.0, 5000.0, 3.0, 32.0, 114.0, 1.0]
[7.9336, 27.0, 0.701, 3.0, 1.0, 0.1, 0.41, 1.0, 5000.0, 2.0, 16.0, 90.0, 1.0]
[5.0638, 27.0, 0.744, 0.0, 4.0, 0.2, 0.8, 0.0, 5000.0, 3.0, 12.0, 90.0, 1.0]
[6.2887, 30.0, 0.757, 3.0, 3.0, 0.4, 0.57, 1.0, 5000.0, 2.0, 17.0, 109.0, 1.0]
[6.3407, 31.0, 0.728, 2.0, 3.0, 0.4, 0.67, 0.0, 5000.0, 3.0, 39.0, 97.0, 1.0]
[6.2669, 27.0, 0.97, 0.0, 3.0, 0.6, 0.71, 0.0, 5000.0, 2.0, 20.0, 117.0, 1.0]
[5.6934, 28.0, 0.829, 1.0, 0.0, 0.6, 0.36, 1.0, 5000.0, 3.0, 33.0, 98.0, 1.0]
[6.0269, 28.0, 0.877, 3.0, 4.0, 0.1, 0.61, 0.0, 5000.0, 2.0, 37.0, 95.0, 1.0]
[6.1401, 27.0, 0.841, 4.0, 0.0, 0.4, 0.39, 1.0, 5000.0, 2.0, 22.0, 97.0, 1.0]
[5.8929, 33.0, 0.903, 4.0, 1.0, 0.7, 0.89, 1.0, 5000.0, 2.0, 23.0, 101.0, 1.0]
[7.094, 27.0, 0.899, 4.0, 1.0, 0.6, 0.85, 1.0, 5000.0, 2.0, 16.0, 81.0, 1.0]
[5.7897, 30.0, 0.717, 0.0, 4.0, 0.3, 0.55, 0.0, 5000.0, 2.0, 39.0, 91.0, 1.0]
[6.7977, 32.0, 0.708, 4.0, 2.0, 0.2, 0.38, 1.0, 5000.0, 1.0, 26.0, 105.0, 1.0]
[6.1217, 30.0, 0.767, 1.0, 2.0, 0.4, 0.2, 1.0, 5000.0, 2.0, 15.0, 81.0, 1.0]
[5.5365, 33.0, 0.766, 2.0, 4.0, 0.6, 0.1, 0.0, 5000.0, 3.0, 32.0, 115.0, 1.0]
[5.1973, 30.0, 0.84, 1.0, 1.0, 0.3, 0.35, 0.0, 5000.0, 2.0, 37.0, 104.0, 1.0]
[5.9221, 25.0, 0.899, 0.0, 1.0, 0.3, 0.42, 1.0, 5000.0, 1.0, 21.0, 81.0, 1.0]
[6.6773, 27.0, 0.935, 0.0, 3.0, 0.1, 0.15, 0.0, 5000.0, 2.0, 11.0, 97.0, 1.0]
[7.6718, 29.0, 0.762, 3.0, 2.0, 0.5, 0.4, 0.0, 5000.0, 2.0, 36.0, 98.0, 1.0]
[6.5436, 31.0, 0.753, 1.0, 1.0, 0.3, 0.51, 0.0, 5000.0, 2.0, 27.0, 114.0, 1.0]
[5.935, 30.0, 0.971, 3.0, 1.0, 0.2, 0.12, 0.0, 5000.0, 2.0, 38.0, 82.0, 1.0]
[5.9008, 30.0, 0.772, 1.0, 1.0, 0.7, 0.64, 0.0, 5000.0, 1.0, 23.0, 86.0, 1.0]
[6.4278, 29.0, 0.933, 3.0, 3.0, 0.3, 0.74, 0.0, 5000.0, 1.0, 17.0, 114.0, 1.0]
[5.0983, 27.0, 0.741, 2.0, 4.0, 0.2, 0.9, 0.0, 5000.0, 2.0, 14.0, 108.0, 1.0]
[5.6976, 30.0, 0.875, 2.0, 1.0, 0.7, 0.28, 0.0, 5000.0, 2.0, 15.0, 99.0, 1.0]
[5.777, 36.0, 0.721, 0.0, 3.0, 0.5, 0.73, 0.0, 5000.0, 2.0, 27.0, 87.0, 1.0]
[5.977, 33.0, 0.983, 1.0, 2.0, 0.6, 0.92, 1.0, 5000.0, 1.0, 37.0, 110.0, 1.0]
[5.8123, 35.0, 0.821, 3.0, 2.0, 0.4, 0.82, 1.0, 5000.0, 2.0, 25.0, 98.0, 1.0]
[5.9691, 26.0, 0.756, 2.0, 3.0, 0.3, 0.84, 0.0, 5000.0, 3.0, 14.0, 89.0, 1.0]
[6.4159, 32.0, 0.962, 0.0, 2.0, 0.4, 0.74, 0.0, 5000.0, 1.0, 20.0, 106.0, 1.0]
[5.6133, 26.0, 0.789, 3.0, 4.0, 0.7, 0.35, 0.0, 5000.0, 2.0, 34.0, 119.0, 1.0]
[6.5242, 28.0, 0.758, 1.0, 3.0, 0.1, 0.8, 0.0, 5000.0, 2.0, 28.0, 106.0, 1.0]
[6.2917, 33.0, 0.853, 3.0, 2.0, 0.2, 0.97, 1.0, 5000.0, 2.0, 28.0, 106.0, 1.0]
[6.5093, 34.0, 0.703, 0.0, 1.0, 0.6, 0.6, 1.0, 5000.0, 2.0, 33.0, 92.0, 1.0]
[6.0843, 28.0, 0.709, 1.0, 4.0, 0.4, 0.12, 1.0, 5000.0, 1.0, 22.0, 113.0, 1.0]
[6.79, 30.0, 0.852, 3.0, 2.0, 0.6, 0.47, 0.0, 5000.0, 2.0, 31.0, 105.0, 1.0]
[6.2055, 38.0, 0.805, 3.0, 2.0, 0.6, 0.34, 0.0, 5000.0, 2.0, 36.0, 99.0, 1.0]
[6.1438, 28.0, 0.98, 3.0, 2.0, 0.2, 0.81, 0.0, 5000.0, 2.0, 21.0, 95.0, 1.0]
[5.9507, 33.0, 0.71, 0.0, 1.0, 0.4, 0.16, 1.0, 5000.0, 3.0, 28.0, 82.0, 1.0]
[6.66, 32.0, 0.751, 3.0, 3.0, 0.1, 0.57, 1.0, 5000.0, 2.0, 29.0, 92.0, 1.0]
[7.5343, 26.0, 0.945, 2.0, 1.0, 0.5, 0.26, 1.0, 5000.0, 1.0, 14.0, 117.0, 1.0]
[6.5602, 30.0, 0.921, 2.0, 4.0, 0.2, 0.3, 0.0, 5000.0, 3.0, 38.0, 85.0, 1.0]
[6.508, 30.0, 0.98, 2.0, 3.0, 0.7, 0.6, 1.0, 5000.0, 2.0, 24.0, 110.0, 1.0]
[5.7546, 31.0, 0.793, 1.0, 0.0, 0.6, 0.78, 0.0, 5000.0, 1.0, 31.0, 98.0, 1.0]
[6.0649, 34.0, 0.994, 1.0, 2.0, 0.4, 0.49, 1.0, 5000.0, 3.0, 29.0, 87.0, 1.0]
[7.4438, 30.0, 0.835, 3.0, 1.0, 0.4, 0.81, 0.0, 5000.0, 2.0, 22.0, 92.0, 1.0]
[6.2471, 32.0, 0.802, 3.0, 1.0, 0.6, 0.35, 0.0, 5000.0, 2.0, 26.0, 101.0, 1.0]
[5.5572, 36.0, 0.97, 3.0, 0.0, 0.2, 0.39, 1.0, 5000.0, 2.0, 40.0, 81.0, 1.0]
[6.9013, 32.0, 0.756, 3.0, 1.0, 0.1, 0.54, 1.0, 5000.0, 2.0, 32.0, 98.0, 1.0]
[6.6011, 31.0, 0.873, 3.0, 2.0, 0.5, 0.11, 1.0, 5000.0, 2.0, 17.0, 111.0, 1.0]
[6.8021, 30.0, 0.789, 3.0, 2.0, 0.2, 0.73, 0.0, 5000.0, 2.0, 13.0, 120.0, 1.0]
[5.7824, 29.0, 0.888, 1.0, 0.0, 0.4, 0.52, 1.0, 5000.0, 2.0, 27.0, 85.0, 1.0]
[5.2294, 29.0, 0.771, 2.0, 2.0, 0.4, 0.27, 0.0, 5000.0, 2.0, 23.0, 109.0, 1.0]
[5.4374, 35.0, 0.976, 4.0, 1.0, 0.5, 0.94, 1.0, 5000.0, 1.0, 21.0, 110.0, 1.0]
[6.7618, 33.0, 0.928, 4.0, 4.0, 0.4, 0.37, 1.0, 5000.0, 2.0, 17.0, 88.0, 1.0]
[6.033, 26.0, 0.871, 3.0, 2.0, 0.2, 0.58, 0.0, 5000.0, 2.0, 11.0, 111.0, 1.0]
[6.3207, 30.0, 0.953, 3.0, 0.0, 0.3, 0.52, 0.0, 5000.0, 3.0, 37.0, 96.0, 1.0]
[5.8545, 34.0, 0.86, 1.0, 3.0, 0.6, 0.95, 0.0, 5000.0, 3.0, 18.0, 87.0, 1.0]
[5.6489, 31.0, 0.779, 1.0, 3.0, 0.1, 0.57, 0.0, 5000.0, 2.0, 32.0, 117.0, 1.0]
[5.1143, 38.0, 0.737, 3.0, 2.0, 0.6, 0.38, 0.0, 5000.0, 2.0, 22.0, 85.0, 1.0]
[5.7117, 36.0, 0.866, 2.0, 4.0, 0.4, 0.55, 0.0, 5000.0, 2.0, 37.0, 86.0, 1.0]
[5.8287, 34.0, 0.995, 0.0, 2.0, 0.3, 0.87, 0.0, 5000.0, 2.0, 38.0, 100.0, 1.0]
[6.1521, 27.0, 0.864, 4.0, 1.0, 0.5, 0.23, 1.0, 5000.0, 1.0, 25.0, 114.0, 1.0]
[6.1608, 31.0, 0.785, 1.0, 2.0, 0.2, 0.85, 1.0, 5000.0, 2.0, 22.0, 96.0, 1.0]
[6.4489, 31.0, 0.701, 3.0, 1.0, 0.2, 0.99, 0.0, 5000.0, 3.0, 36.0, 120.0, 1.0]
[6.1412, 33.0, 0.745, 4.0, 0.0, 0.3, 0.5, 0.0, 5000.0, 3.0, 24.0, 82.0, 1.0]
[6.6258, 28.0, 0.734, 0.0, 3.0, 0.6, 0.22, 1.0, 5000.0, 3.0, 30.0, 102.0, 1.0]
[6.1786, 34.0, 0.868, 0.0, 1.0, 0.1, 0.75, 1.0, 5000.0, 1.0, 25.0, 104.0, 1.0]
[5.0413, 29.0, 0.921, 1.0, 4.0, 0.6, 0.67, 1.0, 5000.0, 2.0, 33.0, 119.0, 1.0]
[5.9758, 26.0, 0.766, 1.0, 1.0, 0.6, 0.18, 1.0, 5000.0, 2.0, 20.0, 82.0, 1.0]
[6.9212, 27.0, 0.856, 2.0, 2.0, 0.4, 0.26, 1.0, 5000.0, 1.0, 27.0, 100.0, 1.0]
[6.3485, 28.0, 0.928, 4.0, 4.0, 0.5, 0.44, 0.0, 5000.0, 1.0, 29.0, 89.0, 1.0]
[6.6578, 32.0, 0.851, 4.0, 0.0, 0.3, 0.71, 0.0, 5000.0, 2.0, 29.0, 108.0, 1.0]
[5.5291, 28.0, 0.827, 2.0, 2.0, 0.3, 0.46, 0.0, 5000.0, 2.0, 38.0, 81.0, 1.0]
[5.4496, 29.0, 0.804, 1.0, 3.0, 0.5, 0.34, 0.0, 5000.0, 2.0, 10.0, 108.0, 1.0]
[5.6527, 31.0, 0.863, 2.0, 3.0, 0.3, 0.24, 0.0, 5000.0, 1.0, 18.0, 118.0, 1.0]
[5.4524, 34.0, 0.945, 3.0, 4.0, 0.4, 0.21, 0.0, 5000.0, 3.0, 14.0, 81.0, 1.0]
[6.6526, 32.0, 0.995, 2.0, 4.0, 0.4, 0.45, 0.0, 5000.0, 2.0, 36.0, 106.0, 1.0]
[5.3047, 29.0, 0.798, 1.0, 0.0, 0.4, 0.59, 1.0, 5000.0, 3.0, 24.0, 106.0, 1.0]
[6.8497, 30.0, 0.784, 3.0, 1.0, 0.2, 0.22, 1.0, 5000.0, 2.0, 16.0, 104.0, 1.0]
[7.3048, 30.0, 0.806, 3.0, 0.0, 0.3, 0.84, 1.0, 5000.0, 2.0, 30.0, 103.0, 1.0]
[7.6463, 29.0, 0.724, 1.0, 0.0, 0.7, 0.35, 1.0, 5000.0, 2.0, 14.0, 86.0, 1.0]
[7.4764, 30.0, 0.746, 2.0, 1.0, 0.4, 0.97, 1.0, 5000.0, 1.0, 37.0, 81.0, 1.0]
[5.8845, 30.0, 0.822, 1.0, 3.0, 0.2, 0.14, 1.0, 5000.0, 2.0, 39.0, 103.0, 1.0]
[6.2575, 30.0, 0.958, 4.0, 1.0, 0.2, 0.8, 0.0, 5000.0, 3.0, 13.0, 95.0, 1.0]
[7.3437, 32.0, 0.725, 3.0, 1.0, 0.5, 0.92, 0.0, 5000.0, 3.0, 24.0, 88.0, 1.0]
[5.4794, 27.0, 0.859, 3.0, 1.0, 0.5, 0.28, 1.0, 5000.0, 2.0, 13.0, 100.0, 1.0]
[5.6578, 31.0, 0.856, 3.0, 2.0, 0.5, 0.64, 0.0, 5000.0, 2.0, 24.0, 87.0, 1.0]
[6.3712, 32.0, 0.94, 3.0, 0.0, 0.4, 0.71, 1.0, 5000.0, 1.0, 33.0, 90.0, 1.0]
[5.9911, 30.0, 0.871, 3.0, 1.0, 0.6, 0.44, 0.0, 5000.0, 2.0, 30.0, 99.0, 1.0]
[5.8856, 30.0, 0.996, 2.0, 1.0, 0.4, 0.88, 1.0, 5000.0, 2.0, 24.0, 109.0, 1.0]
[5.7789, 29.0, 0.876, 0.0, 3.0, 0.5, 0.18, 0.0, 5000.0, 1.0, 28.0, 106.0, 1.0]
[5.8441, 26.0, 0.962, 3.0, 1.0, 0.7, 0.92, 0.0, 5000.0, 2.0, 22.0, 118.0, 1.0]
[7.6604, 29.0, 0.939, 0.0, 2.0, 0.6, 0.41, 1.0, 5000.0, 1.0, 35.0, 101.0, 1.0]
[5.5263, 28.0, 0.789, 2.0, 1.0, 0.3, 0.27, 1.0, 5000.0, 2.0, 16.0, 114.0, 1.0]
[6.127, 27.0, 0.988, 3.0, 2.0, 0.2, 0.18, 1.0, 5000.0, 2.0, 28.0, 117.0, 1.0]
[6.5463, 27.0, 0.959, 1.0, 2.0, 0.7, 0.24, 1.0, 5000.0, 3.0, 38.0, 110.0, 1.0]
[6.4165, 29.0, 0.915, 3.0, 2.0, 0.6, 0.65, 1.0, 5000.0, 1.0, 31.0, 95.0, 1.0]
[6.4784, 28.0, 0.796, 0.0, 1.0, 0.4, 0.84, 1.0, 5000.0, 2.0, 29.0, 82.0, 1.0]
[6.642, 29.0, 0.744, 1.0, 2.0, 0.4, 0.47, 0.0, 5000.0, 2.0, 31.0, 91.0, 1.0]
[6.9119, 30.0, 0.994, 2.0, 2.0, 0.7, 0.75, 1.0, 5000.0, 1.0, 11.0, 98.0, 1.0]
[6.641, 33.0, 0.738, 0.0, 1.0, 0.4, 0.33, 1.0, 5000.0, 1.0, 12.0, 93.0, 1.0]
[7.2672, 32.0, 0.992, 2.0, 1.0, 0.2, 0.4, 1.0, 5000.0, 2.0, 30.0, 116.0, 1.0]
[6.2681, 35.0, 0.966, 2.0, 2.0, 0.5, 0.78, 0.0, 5000.0, 2.0, 36.0, 101.0, 1.0]
[6.4789, 27.0, 0.899, 3.0, 3.0, 0.6, 0.19, 1.0, 5000.0, 1.0, 28.0, 86.0, 1.0]
[5.7534, 25.0, 0.713, 3.0, 2.0, 0.4, 0.98, 1.0, 5000.0, 3.0, 14.0, 105.0, 1.0]
[6.4677, 33.0, 0.751, 1.0, 1.0, 0.3, 0.37, 1.0, 5000.0, 3.0, 39.0, 87.0, 1.0]
[5.688, 33.0, 0.79, 1.0, 3.0, 0.3, 0.81, 1.0, 5000.0, 2.0, 11.0, 81.0, 1.0]
[5.897, 35.0, 0.937, 3.0, 1.0, 0.7, 0.18, 0.0, 5000.0, 2.0, 14.0, 99.0, 1.0]
[5.8912, 31.0, 0.848, 0.0, 1.0, 0.3, 0.75, 0.0, 5000.0, 3.0, 10.0, 116.0, 1.0]
[6.5845, 29.0, 0.758, 2.0, 2.0, 0.5, 0.4, 0.0, 5000.0, 2.0, 12.0, 84.0, 1.0]
[6.7464, 35.0, 0.983, 1.0, 1.0, 0.5, 0.87, 1.0, 5000.0, 3.0, 36.0, 101.0, 1.0]
[6.3224, 30.0, 0.92, 2.0, 3.0, 0.6, 0.23, 1.0, 5000.0, 1.0, 36.0, 116.0, 1.0]
[5.5353, 26.0, 0.812, 1.0, 0.0, 0.3, 0.98, 1.0, 5000.0, 2.0, 17.0, 120.0, 1.0]
[6.8533, 31.0, 0.732, 2.0, 3.0, 0.1, 0.45, 1.0, 5000.0, 1.0, 34.0, 80.0, 1.0]
[6.4792, 27.0, 0.956, 2.0, 3.0, 0.6, 0.47, 1.0, 5000.0, 2.0, 13.0, 103.0, 1.0]
[6.2621, 33.0, 0.747, 3.0, 2.0, 0.1, 0.95, 1.0, 5000.0, 2.0, 20.0, 94.0, 1.0]
[6.1984, 29.0, 0.955, 2.0, 4.0, 0.2, 0.75, 1.0, 5000.0, 2.0, 25.0, 114.0, 1.0]
[6.8949, 27.0, 0.806, 1.0, 2.0, 0.5, 0.84, 0.0, 5000.0, 1.0, 38.0, 85.0, 1.0]
[6.2202, 32.0, 0.859, 4.0, 0.0, 0.6, 0.19, 0.0, 5000.0, 3.0, 32.0, 105.0, 1.0]
[6.556, 35.0, 0.889, 1.0, 3.0, 0.6, 0.44, 0.0, 5000.0, 3.0, 35.0, 98.0, 1.0]
[5.3065, 32.0, 0.867, 4.0, 1.0, 0.3, 0.73, 0.0, 5000.0, 1.0, 20.0, 92.0, 1.0]
[6.8571, 33.0, 0.772, 2.0, 0.0, 0.7, 0.63, 1.0, 5000.0, 1.0, 24.0, 117.0, 1.0]
[6.4397, 29.0, 0.823, 2.0, 1.0, 0.6, 0.96, 1.0, 5000.0, 2.0, 15.0, 88.0, 1.0]
[7.8357, 30.0, 0.817, 0.0, 2.0, 0.4, 0.98, 0.0, 5000.0, 2.0, 14.0, 95.0, 1.0]
[7.5892, 25.0, 0.775, 1.0, 1.0, 0.3, 0.26, 1.0, 5000.0, 1.0, 25.0, 82.0, 1.0]
[7.7508, 30.0, 0.991, 0.0, 1.0, 0.5, 0.55, 1.0, 5000.0, 3.0, 26.0, 119.0, 1.0]
[6.3165, 31.0, 0.83, 1.0, 1.0, 0.2, 0.77, 1.0, 5000.0, 1.0, 23.0, 119.0, 1.0]
[7.0183, 29.0, 0.917, 0.0, 1.0, 0.3, 0.84, 0.0, 5000.0, 3.0, 31.0, 88.0, 1.0]
[7.753, 28.0, 0.835, 3.0, 1.0, 0.2, 0.24, 0.0, 5000.0, 2.0, 40.0, 118.0, 1.0]
[7.1254, 33.0, 0.734, 4.0, 0.0, 0.7, 0.53, 0.0, 5000.0, 2.0, 16.0, 101.0, 1.0]
[5.4363, 30.0, 0.923, 3.0, 1.0, 0.5, 0.61, 0.0, 5000.0, 3.0, 29.0, 83.0, 1.0]
[5.9736, 27.0, 0.936, 3.0, 4.0, 0.1, 0.91, 1.0, 5000.0, 2.0, 24.0, 114.0, 1.0]
[6.0294, 32.0, 0.807, 1.0, 1.0, 0.4, 0.25, 1.0, 5000.0, 2.0, 33.0, 103.0, 1.0]
[6.323, 32.0, 0.912, 0.0, 0.0, 0.4, 0.72, 1.0, 5000.0, 1.0, 34.0, 110.0, 1.0]
[5.7004, 27.0, 0.901, 1.0, 3.0, 0.1, 0.8, 0.0, 5000.0, 2.0, 32.0, 104.0, 1.0]
[6.7532, 31.0, 0.749, 1.0, 3.0, 0.3, 0.91, 1.0, 5000.0, 3.0, 22.0, 118.0, 1.0]
[6.101, 31.0, 0.735, 1.0, 1.0, 0.4, 0.22, 0.0, 5000.0, 2.0, 31.0, 106.0, 1.0]
[5.7933, 26.0, 0.982, 2.0, 0.0, 0.2, 0.58, 0.0, 5000.0, 1.0, 27.0, 101.0, 1.0]
[6.6802, 30.0, 0.788, 4.0, 4.0, 0.6, 0.2, 0.0, 5000.0, 2.0, 40.0, 108.0, 1.0]
[6.1663, 28.0, 0.989, 2.0, 3.0, 0.2, 0.92, 1.0, 5000.0, 2.0, 22.0, 106.0, 1.0]
[6.9547, 31.0, 0.951, 2.0, 4.0, 0.2, 0.52, 1.0, 5000.0, 2.0, 14.0, 115.0, 1.0]
[5.8533, 34.0, 0.954, 1.0, 3.0, 0.1, 0.5, 1.0, 5000.0, 2.0, 11.0, 82.0, 1.0]
[6.5127, 31.0, 0.796, 3.0, 0.0, 0.3, 0.87, 1.0, 5000.0, 2.0, 23.0, 89.0, 1.0]
[5.4789, 30.0, 0.934, 3.0, 2.0, 0.2, 0.15, 0.0, 5000.0, 2.0, 16.0, 110.0, 1.0]
[5.3305, 29.0, 0.725, 2.0, 4.0, 0.1, 0.75, 1.0, 5000.0, 3.0, 38.0, 117.0, 1.0]
[5.7423, 32.0, 0.873, 4.0, 1.0, 0.6, 0.29, 0.0, 5000.0, 2.0, 34.0, 94.0, 1.0]
[6.7133, 33.0, 0.73, 1.0, 3.0, 0.7, 0.95, 1.0, 5000.0, 3.0, 35.0, 107.0, 1.0]
[6.4854, 30.0, 0.756, 3.0, 3.0, 0.4, 0.33, 0.0, 5000.0, 2.0, 25.0, 86.0, 1.0]
[6.308, 26.0, 0.968, 0.0, 1.0, 0.3, 0.9, 1.0, 5000.0, 1.0, 21.0, 104.0, 1.0]
[6.2628, 32.0, 0.934, 1.0, 3.0, 0.5, 0.87, 0.0, 5000.0, 1.0, 40.0, 107.0, 1.0]
[5.6957, 32.0, 0.786, 0.0, 3.0, 0.3, 0.92, 1.0, 5000.0, 3.0, 39.0, 98.0, 1.0]
[6.2214, 32.0, 0.929, 2.0, 3.0, 0.4, 0.42, 0.0, 5000.0, 2.0, 25.0, 91.0, 1.0]
[5.5991, 30.0, 0.774, 2.0, 3.0, 0.2, 0.55, 1.0, 5000.0, 2.0, 17.0, 94.0, 1.0]
[7.5225, 33.0, 0.933, 1.0, 4.0, 0.4, 0.83, 0.0, 5000.0, 3.0, 39.0, 85.0, 1.0]
[6.2561, 33.0, 0.797, 2.0, 2.0, 0.5, 0.44, 0.0, 5000.0, 2.0, 10.0, 101.0, 1.0]
[6.1766, 32.0, 0.795, 0.0, 3.0, 0.2, 0.15, 0.0, 5000.0, 3.0, 14.0, 102.0, 1.0]
[6.2747, 31.0, 0.761, 1.0, 0.0, 0.5, 0.76, 1.0, 5000.0, 3.0, 39.0, 105.0, 1.0]
[5.6751, 39.0, 0.905, 1.0, 0.0, 0.3, 0.47, 1.0, 5000.0, 2.0, 26.0, 103.0, 1.0]
[6.2422, 31.0, 0.911, 1.0, 1.0, 0.7, 0.1, 0.0, 5000.0, 2.0, 14.0, 114.0, 1.0]
[5.5652, 35.0, 0.935, 0.0, 2.0, 0.2, 0.71, 0.0, 5000.0, 1.0, 15.0, 111.0, 1.0]
[5.2762, 32.0, 0.726, 2.0, 3.0, 0.6, 0.2, 1.0, 5000.0, 3.0, 38.0, 83.0, 1.0]
[5.0391, 29.0, 0.873, 1.0, 3.0, 0.6, 0.64, 0.0, 5000.0, 1.0, 14.0, 81.0, 1.0]
[7.1721, 30.0, 0.785, 1.0, 1.0, 0.2, 0.22, 0.0, 5000.0, 2.0, 25.0, 118.0, 1.0]
[7.1189, 29.0, 0.919, 1.0, 1.0, 0.6, 0.69, 0.0, 5000.0, 3.0, 29.0, 113.0, 1.0]
[6.2571, 28.0, 0.974, 1.0, 0.0, 0.6, 0.1, 1.0, 5000.0, 2.0, 29.0, 108.0, 1.0]
[5.1787, 30.0, 0.981, 2.0, 4.0, 0.6, 0.25, 0.0, 5000.0, 2.0, 18.0, 119.0, 1.0]
[6.8251, 31.0, 0.709, 0.0, 1.0, 0.3, 0.59, 1.0, 5000.0, 2.0, 30.0, 114.0, 1.0]
[7.5388, 26.0, 0.708, 3.0, 1.0, 0.6, 0.73, 0.0, 5000.0, 3.0, 17.0, 83.0, 1.0]
[5.6727, 34.0, 0.834, 2.0, 3.0, 0.7, 0.38, 0.0, 5000.0, 1.0, 30.0, 90.0, 1.0]
[7.0259, 30.0, 0.984, 4.0, 4.0, 0.1, 0.65, 0.0, 5000.0, 3.0, 15.0, 91.0, 1.0]
[5.0938, 30.0, 0.93, 4.0, 2.0, 0.1, 0.13, 0.0, 5000.0, 2.0, 28.0, 105.0, 1.0]
[7.2196, 32.0, 0.836, 4.0, 2.0, 0.1, 0.69, 1.0, 5000.0, 3.0, 14.0, 102.0, 1.0]
[6.0455, 29.0, 0.709, 2.0, 4.0, 0.2, 0.55, 1.0, 5000.0, 3.0, 38.0, 101.0, 1.0]
[6.6212, 28.0, 0.978, 4.0, 3.0, 0.4, 0.82, 0.0, 5000.0, 1.0, 35.0, 99.0, 1.0]
[7.445, 34.0, 0.812, 1.0, 1.0, 0.5, 0.84, 1.0, 5000.0, 1.0, 15.0, 114.0, 1.0]
